baseline,split,rollout,ego_init_id,cell_id,target_style,response_active,ADE_m,FDE_m,diagonal_gaussian_NLL_nats_per_step
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.3343124875287099,0.3975158739801723,-2.2949028307248254
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.06335332422761014,0.08111183025182936,-2.3905112659529895
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.9040351653418313,2.431124487811242,-2.3966898310675493
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.30028342634083116,0.3679612529217217,-2.313901727191994
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.17842470459640392,0.3377137140517846,-2.3884692686117326
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.95696834106725,2.359905040740508,-2.3507511590319368
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.3196209085537035,0.3823507546949366,-2.307188157116303
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.12164335655567207,0.20218567848872576,-2.3890360049958863
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.20343337757513608,0.6120059827509795,-2.4701999570242164
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.35240025926281093,0.40966006087073936,-2.290548330607053
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.08369575709171681,0.16847976269261025,-2.3991330425460946
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.7985981169475127,2.02778256210057,-2.40071368427583
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.3525132237784762,0.4108533353324611,-2.2881623254647208
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.12475926808678686,0.2213762490969758,-2.3925873121511274
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.1898217369324365,0.39036994417018755,-2.465050476897732
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.3291093743268641,0.39175450756543867,-2.299893568446032
