t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
5.25,105,-0.002407486973,-4.09233787,4.965857638,0.5680183029,0.2136569449,0.1739157918,-0.1196729486,41.147849,1.64,0.9494974165,3.207789155,0,1,0.4901931286
5.3,106,0.006181321573,-2.87219169,5.001156006,0.5521921075,0.8888737995,0.3149937993,-0.9523294937,36.453557,1.64,0.9494974165,2.156004033,0,1,0.5310002565
5.35,107,0.01156462103,-6.118555188,5.038592021,0.6118896047,0.8573617663,0.3146932772,-0.9523294937,102.865072,1.64,0.9494974165,2.156004033,0,1,0.5173600316
5.4,108,0.01076863053,-4.90551579,5.02097892,-0.5096756792,0.3766231931,0.2138700074,-0.3451841825,62.000552,1.64,0.9494974165,2.156004033,0,1,0.5056182146
5.45,109,0.01514724184,-3.675565839,5.00975538,-0.3682906612,0.2590329219,0.2155696813,-0.3451841825,93.859751,1.64,0.9494974165,2.156004033,0,1,0.6262521148
5.5,110,0.02290771818,-2.515325665,5.053681113,0.7976677269,1.121448623,0.2775842578,-1.211789952,106.121375,1.64,0.9494974165,1.085755045,0,1,0.6187958121
5.55,111,0.02735548611,-5.108042718,5.077705689,0.3558080074,1.115402547,0.2767963202,-1.211789952,82.793479,1.64,0.9494974165,1.085755045,0,1,0.565253973
5.6,112,0.02797834892,-4.025259972,5.079887376,-0.09982834752,0.5405944299,0.1835709289,-0.4947952912,54.048003,1.64,0.9494974165,1.085755045,0,1,0.6285170317
5.65,113,0.03244696915,-2.986277581,5.089524456,0.1220838459,0.39826031,0.186030113,-0.4947952912,50.161016,1.64,0.9494974165,1.085755045,0,1,0.5896859765
5.7,114,0.03912447897,-1.942297936,5.015184785,-1.536377826,1.517670952,0.2656122041,-1.645615931,30.826927,1.64,0.9494974165,0,0,1,0.5700893402
5.75,115,0.0440010087,-4.600533266,5.172591268,3.007039043,1.073388555,0.2195246534,-1.050425076,109.898331,1.64,0.9494974165,0,0,1,0.5557357073
5.8,116,0.04406389005,-3.594589968,5.139458984,-0.742137111,0.5997300287,0.1789182151,-0.5701894547,52.035783,1.64,0.9494974165,0,0,1,0.5551881194
5.85,117,0.04704649605,-2.575135012,5.084296088,-1.159709693,0.4866806732,0.180917187,-0.5701894547,30.139022,1.64,0.9494974165,0,0,1,0.5231244564
5.9,118,0.05292760681,-1.697369356,5.044635106,-0.8534240626,0.2,0.09841560896,-0.05637132668,54.772032,1.64,0.9494974165,0,0,1,0.5630719662
5.95,119,0.05512044338,-4.418876239,5.011553529,-0.72187533,0.2,0.1006285507,-0.1588748584,27.64896,1.64,0.9494974165,-1.107751398,0,1,0.4460859299
6,120,0.05001628477,-3.659972736,5.207567438,3.894871209,0.2,0.1972749264,-0.1999320447,57.732184,1.64,0.9494974165,-1.107751398,0,1,0.4871482849
6.05,121,0.04810264786,-2.929988452,5.250854647,0.8127400664,0.2,0.1994223664,-0.3007736512,96.460521,1.64,0.9494974165,-1.107751398,0,1,0.5761650801
6.1,122,0.04919119982,-2.229423114,5.274865274,0.4269349405,0.2,0.1384814133,-0.009994506,92.649551,1.64,0.9494974165,-1.107751398,0,1,0.4557009339
6.15,123,0.04270562005,-5.256388562,5.112463756,-3.28402041,0.2,0.1408349416,-0.06533682082,76.849198,1.64,0.9494974165,-2.227088556,0,1,0.530836761
6.2,124,0.03299979496,-4.622984784,5.121047041,0.1246335444,0.2,0.2630029963,-0.1999487483,44.879703,1.64,0.9494974165,-2.227088556,0,1,0.5967550278
6.25,125,0.02759620239,-3.978762525,5.060652783,-1.296889635,0.2,0.2423864584,-0.2000397426,98.929189,1.64,0.9494974165,-2.227088556,0,1,0.5237905383
6.3,126,0.02834581687,-3.094805615,5.086099018,0.4021847264,0.2,0.2062758753,-0.1228210988,83.318815,1.64,0.9494974165,-2.227088556,0,1,0.6154396534
6.35,127,0.01982271582,-5.885578073,5.066686926,-0.4836020952,0.2,0.2082209743,-0.1991848853,82.783978,1.64,0.9494974165,-3.346012469,0,1,0.481579423
6.4,128,0.01283747545,-4.959991372,4.994975293,-1.49565272,0.4681450173,0.3047413255,-0.4681149811,41.619589,1.64,0.9494974165,-3.346012469,0,1,0.5844912529
